dataset                    XGBClassifier    RandomForestClassifier    AdaBoostClassifier    GradientBoostingClassifier    DecisionTreeClassifier    ExtraTreesClassifier
-----------------------  ---------------  ------------------------  --------------------  ----------------------------  ------------------------  ----------------------
breast-cancer-wisconsin         0.962209                  0.965942              0.956688                      0.959888                  0.93433                 0.969413
ecoli                           0.824061                  0.845976              0.451814                      0.805906                  0.778131                0.846699
haberman                        0.670158                  0.687716              0.676434                      0.670286                  0.655913                0.675977
sonar                           0.808338                  0.811459              0.780795                      0.785038                  0.713381                0.851711
new-thyroid                     0.952563                  0.951543              0.759075                      0.9427                    0.914916                0.960676
banknote                        0.993873                  0.990811              0.994603                      0.990809                  0.980308                0.998541
abalone                         0.531605                  0.538468              0.520479                      0.536773                  0.482897                0.536567
heart                           0.806112                  0.818324              0.764829                      0.786947                  0.734012                0.816606
glass                           0.707216                  0.745096              0.311649                      0.681957                  0.648903                0.741373
wine                            0.951433                  0.976194              0.925139                      0.919973                  0.910703                0.985305
cleveland                       0.539391                  0.534922              0.497024                      0.52995                   0.512551                0.536713
Iris                            0.955712                  0.950306              0.94885                       0.939663                  0.946139                0.951653
german                          0.737021                  0.736355              0.72319                       0.747626                  0.670666                0.732363
pima-indians-diabetes           0.727793                  0.746299              0.729729                      0.740601                  0.680577                0.738869
